user_id,nome,documento,telefone,uf,cluster
user_1,Leonardo Lima,154.171.609-44,(15) 65524-5576,SC,SILVER
user_2,Mariana Melo,930.473.374-15,(95) 57390-6583,RN,PLATINUM
user_3,Tatiana Costa,155.237.794-38,(64) 95814-5063,AP,GOLD
user_4,Júlia Barbosa,242.521.877-38,(31) 34069-6630,MG,SILVER
user_5,Paulo Souza,885.959.237-24,(74) 89644-4786,PA,GOLD
user_6,Júlia Oliveira,792.392.054-72,(93) 58262-4009,PI,DIAMOND
user_7,Olivia Lima,371.495.784-31,(35) 42105-3414,RR,PLATINUM
user_8,Igor Ribeiro,611.174.458-41,(87) 92005-7648,DF,GOLD
user_9,Renata Almeida,939.452.932-32,(98) 55100-2390,AC,SILVER
user_10,Olivia Rocha,929.861.623-60,(89) 67039-6637,RR,SILVER
user_11,Helena Oliveira,260.292.753-78,(89) 22084-9805,TO,PLATINUM
user_12,Daniela Souza,636.542.990-90,(29) 35465-3699,MT,SILVER
user_13,Mariana Lima,800.652.158-93,(92) 33873-2961,RO,DIAMOND
user_14,Ana Ferreira,400.061.995-90,(42) 64558-0516,MS,GOLD
user_15,Mariana Gomes,198.849.822-05,(74) 81204-1312,DF,SILVER
user_16,Clara Costa,633.902.103-10,(54) 10935-8943,MT,DIAMOND
user_17,Júlia Souza,166.807.636-44,(35) 23476-5140,MA,DIAMOND
user_18,Júlia Ribeiro,094.526.042-27,(19) 62085-5795,MS,GOLD
user_19,Yasmin Almeida,471.751.484-42,(81) 26130-7819,AC,DIAMOND
user_20,Samuel Costa,146.659.424-61,(34) 63754-7904,RS,SILVER
user_21,Mariana Ferreira,802.942.405-52,(38) 35669-2586,AP,SILVER
user_22,Mariana Costa,125.483.851-34,(52) 59897-1516,RO,GOLD
user_23,Gabriel Oliveira,470.029.135-66,(39) 65249-3464,RS,GOLD
user_24,Paulo Melo,598.143.641-54,(88) 90780-6811,PB,SILVER
user_25,Fernanda Nascimento,698.545.417-50,(32) 27353-3518,GO,GOLD
user_26,Carlos Oliveira,610.756.546-52,(38) 29641-2402,PR,GOLD
