user_id,nome,nome,responsavel,documento,telefone,email,cidade,uf,regiao,culturas,cluster,area_total,tipo_solo,praga_comum,safra_principal
user_1,Agropecuária Boa Vista da Lima,Agropecuária Boa Vista da Lima,Leonardo Lima,154.171.609-44,(15) 65524-5576,agropecuáriaboavistadalima@ruraltec.com.br,Cidade SC,SC,Outra,Algodão / Trigo,SILVER,2200,Latossolo Amarelo,Cigarrinha / Nematoides,Set-Fev
user_10,Chácara Verde da Rocha,Chácara Verde da Rocha,Olivia Rocha,929.861.623-60,(89) 67039-6637,chácaraverdedarocha@agrocorp.com.br,Cidade RR,RR,Norte,Milho,SILVER,1900,Latossolo Amarelo,Lagarta / Nematoides,Set-Fev
user_100,Granja São João do Almeida,Granja São João do Almeida,Igor Almeida,004.664.849-47,(21) 63928-4713,granjasãojoãodoalmeida@agrocorp.com.br,Cidade RN,RN,Nordeste,Cana-de-Açúcar / Trigo,GOLD,1900,Terra Roxa,Nematoides / Ferrugem,Out-Mar
user_101,Sítio Esperança do Souza,Sítio Esperança do Souza,Daniela Souza,556.649.635-30,(48) 35581-2597,sítioesperançadosouza@agrocorp.com.br,Cidade MG,MG,Outra,Milho / Soja,PLATINUM,2200,Neossolo,Nematoides / Percevejos,Nov-Abr
user_102,Chácara Esperança da Costa,Chácara Esperança da Costa,Eduardo Costa,233.132.947-39,(60) 69072-1605,chácaraesperançadacosta@agrocorp.com.br,Cidade RS,RS,Outra,Cana-de-Açúcar,DIAMOND,800,Argissolo,Percevejos / Cigarrinha,Nov-Abr
user_103,Sítio Ouro do Cardoso & Filhos,Sítio Ouro do Cardoso & Filhos,Júlia Cardoso,231.887.260-19,(16) 49359-1469,sítioourodocardosofilhos@ruraltec.com.br,Cidade BA,BA,Nordeste,Algodão / Trigo,GOLD,1200,Terra Roxa,Percevejos / Nematoides,Set-Fev
user_104,Sítio Progresso da Costa,Sítio Progresso da Costa,Renata Costa,815.610.700-49,(25) 37285-4292,sítioprogressodacosta@ruraltec.com.br,Cidade PB,PB,Outra,Milho,SILVER,2200,Latossolo Vermelho,Percevejos / Nematoides,Nov-Abr
user_105,Fazenda Esperança do Cardoso Agro,Fazenda Esperança do Cardoso Agro,Igor Cardoso,609.154.394-16,(11) 62068-1031,fazendaesperançadocardosoagro@agrocorp.com.br,Cidade AP,AP,Outra,Trigo / Algodão,DIAMOND,3600,Argissolo,Percevejos,Out-Mar
user_106,Fazenda São João do Cardoso & Filhos,Fazenda São João do Cardoso & Filhos,Karen Cardoso,893.970.668-62,(28) 87729-6918,fazendasãojoãodocardosofilhos@agrocorp.com.br,Rondonópolis,GO,Centro-Oeste,Algodão / Cana-de-Açúcar,SILVER,1600,Neossolo,Ferrugem / Cigarrinha,Nov-Abr
user_107,Fazenda São João do Ribeiro,Fazenda São João do Ribeiro,Bruno Ribeiro,462.761.206-38,(60) 60821-6090,fazendasãojoãodoribeiro@ruraltec.com.br,Cidade PE,PE,Nordeste,Cana-de-Açúcar / Café,PLATINUM,1600,Terra Roxa,Ferrugem / Lagarta,Abr-Ago
user_108,Sítio Ouro da Pereira LTDA,Sítio Ouro da Pereira LTDA,Daniela Pereira,484.130.349-51,(23) 62023-4076,sítioourodapereira@ruraltec.com.br,Cidade PB,PB,Outra,Café / Trigo,GOLD,2900,Neossolo,Ferrugem,Abr-Ago
user_109,Agropecuária Ouro da Melo,Agropecuária Ouro da Melo,Paulo Melo,250.023.058-76,(96) 53026-1149,agropecuáriaourodamelo@ruraltec.com.br,Cidade BA,BA,Nordeste,Trigo,SILVER,1500,Latossolo Vermelho,Cigarrinha / Nematoides,Out-Mar
user_11,Sítio Ouro do Oliveira,Sítio Ouro do Oliveira,Helena Oliveira,260.292.753-78,(89) 22084-9805,sítioourodooliveira@agrocorp.com.br,Cidade TO,TO,Outra,Café,PLATINUM,1800,Argissolo,Ferrugem / Lagarta,Set-Fev
user_110,Granja Progresso do Rocha,Granja Progresso do Rocha,Vinicius Rocha,942.237.261-84,(82) 27339-1547,granjaprogressodorocha@fazenda.com.br,Cidade ES,ES,Outra,Algodão,SILVER,600,Argissolo,Nematoides,Out-Mar
user_111,Fazenda São João do Silva Agro,Fazenda São João do Silva Agro,Daniela Silva,982.074.646-59,(23) 53696-9916,fazendasãojoãodosilvaagro@fazenda.com.br,Cidade SP,SP,Sudeste,Algodão,SILVER,2200,Terra Roxa,Cigarrinha,Nov-Abr
user_112,Fazenda São João do Gomes,Fazenda São João do Gomes,Mariana Gomes,344.995.105-53,(38) 69312-4431,fazendasãojoãodogomes@fazenda.com.br,Cidade PR,PR,Sul,Café / Trigo,PLATINUM,900,Latossolo Vermelho,Cigarrinha,Nov-Abr
