user_id,nome,documento,telefone,uf,cluster,rec_id,rec_desc,source_rec
user_1,Leonardo Lima,154.171.609-44,(15) 65524-5576,SC,SILVER,item_2,Tiodicarbe,top products
user_1,Leonardo Lima,154.171.609-44,(15) 65524-5576,SC,SILVER,item_25,Spiromesifen,top products
user_1,Leonardo Lima,154.171.609-44,(15) 65524-5576,SC,SILVER,item_32,Buprofezina,top products
user_10,Olivia Rocha,929.861.623-60,(89) 67039-6637,RR,SILVER,item_2,Tiodicarbe,top products
user_10,Olivia Rocha,929.861.623-60,(89) 67039-6637,RR,SILVER,item_25,Spiromesifen,top products
user_10,Olivia Rocha,929.861.623-60,(89) 67039-6637,RR,SILVER,item_32,Buprofezina,top products
user_100,Igor Almeida,004.664.849-47,(21) 63928-4713,RN,GOLD,item_2,Tiodicarbe,top products
user_100,Igor Almeida,004.664.849-47,(21) 63928-4713,RN,GOLD,item_25,Spiromesifen,top products
user_100,Igor Almeida,004.664.849-47,(21) 63928-4713,RN,GOLD,item_32,Buprofezina,top products
user_101,Daniela Souza,556.649.635-30,(48) 35581-2597,MG,PLATINUM,item_2,Tiodicarbe,apriori
user_101,Daniela Souza,556.649.635-30,(48) 35581-2597,MG,PLATINUM,item_25,Spiromesifen,apriori
user_101,Daniela Souza,556.649.635-30,(48) 35581-2597,MG,PLATINUM,item_4,Difenoconazol,apriori
user_102,Eduardo Costa,233.132.947-39,(60) 69072-1605,RS,DIAMOND,item_2,Tiodicarbe,top products
user_102,Eduardo Costa,233.132.947-39,(60) 69072-1605,RS,DIAMOND,item_25,Spiromesifen,top products
user_102,Eduardo Costa,233.132.947-39,(60) 69072-1605,RS,DIAMOND,item_32,Buprofezina,top products
user_103,Júlia Cardoso,231.887.260-19,(16) 49359-1469,BA,GOLD,item_2,Tiodicarbe,top products
user_103,Júlia Cardoso,231.887.260-19,(16) 49359-1469,BA,GOLD,item_25,Spiromesifen,top products
user_103,Júlia Cardoso,231.887.260-19,(16) 49359-1469,BA,GOLD,item_32,Buprofezina,top products
user_104,Renata Costa,815.610.700-49,(25) 37285-4292,PB,SILVER,item_2,Tiodicarbe,top products
user_104,Renata Costa,815.610.700-49,(25) 37285-4292,PB,SILVER,item_25,Spiromesifen,top products
user_104,Renata Costa,815.610.700-49,(25) 37285-4292,PB,SILVER,item_32,Buprofezina,top products
user_105,Igor Cardoso,609.154.394-16,(11) 62068-1031,AP,DIAMOND,item_2,Tiodicarbe,top products
user_105,Igor Cardoso,609.154.394-16,(11) 62068-1031,AP,DIAMOND,item_25,Spiromesifen,top products
user_105,Igor Cardoso,609.154.394-16,(11) 62068-1031,AP,DIAMOND,item_32,Buprofezina,top products
user_106,Karen Cardoso,893.970.668-62,(28) 87729-6918,GO,SILVER,item_2,Tiodicarbe,top products
user_106,Karen Cardoso,893.970.668-62,(28) 87729-6918,GO,SILVER,item_25,Spiromesifen,top products
user_106,Karen Cardoso,893.970.668-62,(28) 87729-6918,GO,SILVER,item_32,Buprofezina,top products
user_107,Bruno Ribeiro,462.761.206-38,(60) 60821-6090,PE,PLATINUM,item_2,Tiodicarbe,top products
user_107,Bruno Ribeiro,462.761.206-38,(60) 60821-6090,PE,PLATINUM,item_25,Spiromesifen,top products
user_107,Bruno Ribeiro,462.761.206-38,(60) 60821-6090,PE,PLATINUM,item_32,Buprofezina,top products
user_108,Daniela Pereira,484.130.349-51,(23) 62023-4076,PB,GOLD,item_2,Tiodicarbe,top products
user_108,Daniela Pereira,484.130.349-51,(23) 62023-4076,PB,GOLD,item_25,Spiromesifen,top products
user_108,Daniela Pereira,484.130.349-51,(23) 62023-4076,PB,GOLD,item_32,Buprofezina,top products
user_109,Paulo Melo,250.023.058-76,(96) 53026-1149,BA,SILVER,item_2,Tiodicarbe,top products
user_109,Paulo Melo,250.023.058-76,(96) 53026-1149,BA,SILVER,item_25,Spiromesifen,top products
user_109,Paulo Melo,250.023.058-76,(96) 53026-1149,BA,SILVER,item_32,Buprofezina,top products
user_11,Helena Oliveira,260.292.753-78,(89) 22084-9805,TO,PLATINUM,item_2,Tiodicarbe,top products
user_11,Helena Oliveira,260.292.753-78,(89) 22084-9805,TO,PLATINUM,item_25,Spiromesifen,top products
user_11,Helena Oliveira,260.292.753-78,(89) 22084-9805,TO,PLATINUM,item_32,Buprofezina,top products
user_110,Vinicius Rocha,942.237.261-84,(82) 27339-1547,ES,SILVER,item_2,Tiodicarbe,top products
user_110,Vinicius Rocha,942.237.261-84,(82) 27339-1547,ES,SILVER,item_25,Spiromesifen,top products
user_110,Vinicius Rocha,942.237.261-84,(82) 27339-1547,ES,SILVER,item_32,Buprofezina,top products
user_111,Daniela Silva,982.074.646-59,(23) 53696-9916,SP,SILVER,item_2,Tiodicarbe,top products
user_111,Daniela Silva,982.074.646-59,(23) 53696-9916,SP,SILVER,item_25,Spiromesifen,top products
user_111,Daniela Silva,982.074.646-59,(23) 53696-9916,SP,SILVER,item_32,Buprofezina,top products
user_112,Mariana Gomes,344.995.105-53,(38) 69312-4431,PR,PLATINUM,item_2,Tiodicarbe,top products
user_112,Mariana Gomes,344.995.105-53,(38) 69312-4431,PR,PLATINUM,item_25,Spiromesifen,top products
user_112,Mariana Gomes,344.995.105-53,(38) 69312-4431,PR,PLATINUM,item_32,Buprofezina,top products
user_113,Vinicius Lima,791.883.738-93,(50) 13501-3742,AL,PLATINUM,item_2,Tiodicarbe,top products
user_113,Vinicius Lima,791.883.738-93,(50) 13501-3742,AL,PLATINUM,item_25,Spiromesifen,top products
user_113,Vinicius Lima,791.883.738-93,(50) 13501-3742,AL,PLATINUM,item_32,Buprofezina,top products
user_114,Igor Nascimento,608.952.827-30,(73) 67268-0459,PI,GOLD,item_2,Tiodicarbe,top products
user_114,Igor Nascimento,608.952.827-30,(73) 67268-0459,PI,GOLD,item_25,Spiromesifen,top products
user_114,Igor Nascimento,608.952.827-30,(73) 67268-0459,PI,GOLD,item_32,Buprofezina,top products
user_115,Olivia Melo,582.272.346-96,(65) 43663-6650,MA,SILVER,item_2,Tiodicarbe,top products
user_115,Olivia Melo,582.272.346-96,(65) 43663-6650,MA,SILVER,item_25,Spiromesifen,top products
user_115,Olivia Melo,582.272.346-96,(65) 43663-6650,MA,SILVER,item_32,Buprofezina,top products
user_116,Helena Costa,071.884.667-30,(74) 56734-0551,PR,SILVER,item_2,Tiodicarbe,top products
user_116,Helena Costa,071.884.667-30,(74) 56734-0551,PR,SILVER,item_25,Spiromesifen,top products
user_116,Helena Costa,071.884.667-30,(74) 56734-0551,PR,SILVER,item_32,Buprofezina,top products
user_117,Yasmin Costa,525.076.628-36,(62) 98535-5205,ES,DIAMOND,item_2,Tiodicarbe,top products
user_117,Yasmin Costa,525.076.628-36,(62) 98535-5205,ES,DIAMOND,item_25,Spiromesifen,top products
